DATE,FXRATEPEA618NUPN
1950-01-01,0.000000014800000000000000000000
1951-01-01,0.000000015200000000000000000000
1952-01-01,0.000000015500000000000000000000
1953-01-01,0.000000019800000000000000000000
1954-01-01,0.000000018900000000000000000000
1955-01-01,0.000000018900000000000000000000
1956-01-01,0.000000018900000000000000000000
1957-01-01,0.000000019100000000000000000000
1958-01-01,0.000000024000000000000000000000
1959-01-01,0.000000027800000000000000000000
1960-01-01,0.000000027300000000000000000000
1961-01-01,0.000000026800000000000000000000
1962-01-01,0.000000026800000000000000000000
1963-01-01,0.000000026800000000000000000000
1964-01-01,0.000000026800000000000000000000
1965-01-01,0.000000026800000000000000000000
1966-01-01,0.000000026800000000000000000000
1967-01-01,0.000000030200000000000000000000
1968-01-01,0.000000038700000000000000000000
1969-01-01,0.000000038700000000000000000000
1970-01-01,0.000000038700000000000000000000
1971-01-01,0.000000038700000000000000000000
1972-01-01,0.000000038700000000000000000000
1973-01-01,0.000000038700000000000000000000
1974-01-01,0.000000038700000000000000000000
1975-01-01,0.000000040400000000000000000000
1976-01-01,0.000000055800000000000000000000
1977-01-01,0.000000084200000000000000000000
1978-01-01,0.000000156000000000000000000000
1979-01-01,0.000000225000000000000000000000
1980-01-01,0.000000289000000000000000000000
1981-01-01,0.000000422000000000000000000000
1982-01-01,0.000000698000000000000000000000
1983-01-01,0.000001630000000000000000000000
1984-01-01,0.000003470000000000000000000000
1985-01-01,0.0000109749
1986-01-01,0.0000139475
1987-01-01,0.0000168358
1988-01-01,0.000128832
1989-01-01,0.002666188
1990-01-01,0.187885579
1991-01-01,0.7725
1992-01-01,1.245833333
1993-01-01,1.988318917
1994-01-01,2.195
1995-01-01,2.253333333
1996-01-01,2.453333333
1997-01-01,2.664166667
1998-01-01,2.93
1999-01-01,3.383333333
2000-01-01,3.49
2001-01-01,3.506833333
2002-01-01,3.5165
2003-01-01,3.478467
2004-01-01,3.413175
2005-01-01,3.295841667
2006-01-01,3.274032503
2007-01-01,3.128044577
2008-01-01,2.924408333
2009-01-01,3.011508333
2010-01-01,2.825125
